year,month,total_precip_mm,date
2011,4,119.4,2011-04-01
2011,5,112.4,2011-05-01
2011,6,77.8,2011-06-01
2011,7,158.0,2011-07-01
2011,8,68.2,2011-08-01
2011,9,59.8,2011-09-01
2011,10,212.6,2011-10-01
2011,11,152.0,2011-11-01
2011,12,150.8,2011-12-01
2012,1,113.2,2012-01-01
2012,2,66.2,2012-02-01
2012,3,60.8,2012-03-01
2012,4,5.6,2012-04-01
