year,month,total_precip_mm,date
1978,12,123.9,1978-12-01
1979,1,262.2,1979-01-01
1979,2,115.1,1979-02-01
1979,3,167.2,1979-03-01
1979,4,99.2,1979-04-01
1979,5,117.6,1979-05-01
1979,6,72.3,1979-06-01
1979,7,115.5,1979-07-01
1979,8,192.9,1979-08-01
1979,9,93.2,1979-09-01
1979,10,168.4,1979-10-01
1979,11,178.8,1979-11-01
1979,12,164.0,1979-12-01
1980,1,73.4,1980-01-01
1980,2,28.2,1980-02-01
1980,3,124.1,1980-03-01
1980,4,139.2,1980-04-01
1980,5,71.1,1980-05-01
1980,6,110.1,1980-06-01
1980,7,55.0,1980-07-01
1980,8,30.4,1980-08-01
1980,9,101.3,1980-09-01
1980,10,111.6,1980-10-01
1980,11,131.6,1980-11-01
1980,12,135.7,1980-12-01
1981,1,124.9,1981-01-01
1981,2,53.8,1981-02-01
1981,3,88.3,1981-03-01
1981,4,55.5,1981-04-01
1981,5,178.5,1981-05-01
1981,6,153.4,1981-06-01
1981,7,128.6,1981-07-01
1981,8,74.2,1981-08-01
1981,9,147.6,1981-09-01
1981,10,116.4,1981-10-01
1981,11,175.7,1981-11-01
1981,12,224.5,1981-12-01
1982,1,152.4,1982-01-01
1982,2,79.9,1982-02-01
1982,3,84.8,1982-03-01
1982,4,180.6,1982-04-01
1982,5,53.8,1982-05-01
1982,6,137.4,1982-06-01
1982,7,133.3,1982-07-01
1982,8,107.2,1982-08-01
1982,9,121.1,1982-09-01
1982,10,31.9,1982-10-01
1982,11,151.6,1982-11-01
1982,12,104.0,1982-12-01
1983,1,125.5,1983-01-01
1983,2,79.7,1983-02-01
1983,3,140.1,1983-03-01
1983,4,130.6,1983-04-01
1983,5,126.0,1983-05-01
1983,6,76.7,1983-06-01
1983,7,103.0,1983-07-01
1983,8,230.0,1983-08-01
1983,9,26.8,1983-09-01
1983,10,88.6,1983-10-01
1983,11,236.2,1983-11-01
1983,12,194.2,1983-12-01
1984,1,172.0,1984-01-01
1984,2,163.1,1984-02-01
1984,3,140.3,1984-03-01
1984,4,168.9,1984-04-01
1984,5,187.5,1984-05-01
1984,6,72.6,1984-06-01
1984,7,48.2,1984-07-01
1984,8,102.5,1984-08-01
1984,9,53.1,1984-09-01
1984,10,58.3,1984-10-01
1984,11,38.2,1984-11-01
1984,12,138.5,1984-12-01
1985,1,80.5,1985-01-01
1985,2,92.6,1985-02-01
1985,3,103.8,1985-03-01
1985,4,84.1,1985-04-01
1985,5,103.0,1985-05-01
1985,6,341.8,1985-06-01
1985,7,137.8,1985-07-01
1985,8,184.2,1985-08-01
1985,9,29.8,1985-09-01
1985,10,55.2,1985-10-01
1985,11,109.7,1985-11-01
1985,12,82.4,1985-12-01
1986,1,133.3,1986-01-01
1986,2,111.5,1986-02-01
1986,3,147.8,1986-03-01
1986,4,133.3,1986-04-01
1986,5,82.4,1986-05-01
1986,6,106.2,1986-06-01
1986,7,133.1,1986-07-01
1986,8,173.1,1986-08-01
1986,9,96.6,1986-09-01
1986,10,70.7,1986-10-01
1986,11,144.7,1986-11-01
1986,12,117.3,1986-12-01
1987,1,148.0,1987-01-01
1987,2,30.1,1987-02-01
1987,3,94.0,1987-03-01
1987,4,96.2,1987-04-01
1987,5,62.5,1987-05-01
1987,6,128.0,1987-06-01
1987,7,55.3,1987-07-01
1987,8,53.9,1987-08-01
1987,9,144.8,1987-09-01
1987,10,160.0,1987-10-01
1987,11,127.1,1987-11-01
1987,12,139.2,1987-12-01
1988,1,105.4,1988-01-01
1988,2,142.6,1988-02-01
1988,3,96.2,1988-03-01
1988,4,190.0,1988-04-01
1988,5,69.0,1988-05-01
