COORDINATE,COUNTRY/PROVINCES,DGUID,GHG EMISSIONS,SECTOR,UOM,UOM_ID,VECTOR,Year
3.118,Prince Edward Island,2021A000211,1585,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission",Kilotonnes,198,v1013973542,2020
3.118,Prince Edward Island,2021A000211,1587,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission",Kilotonnes,198,v1013973542,2014
3.118,Prince Edward Island,2021A000211,1590,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission",Kilotonnes,198,v1013973542,2018
3.118,Prince Edward Island,2021A000211,1592,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission",Kilotonnes,198,v1013973542,2023
3.118,Prince Edward Island,2021A000211,1594,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission",Kilotonnes,198,v1013973542,2016
3.118,Prince Edward Island,2021A000211,1606,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission",Kilotonnes,198,v1013973542,2022
3.118,Prince Edward Island,2021A000211,1616,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission",Kilotonnes,198,v1013973542,2017
3.118,Prince Edward Island,2021A000211,1628,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission",Kilotonnes,198,v1013973542,2021
3.118,Prince Edward Island,2021A000211,1633,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission",Kilotonnes,198,v1013973542,2019
3.118,Prince Edward Island,2021A000211,1648,"Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission",Kilotonnes,198,v1013973542,2013
3.119,Prince Edward Island,2021A000211,-32,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)",Kilotonnes,198,v1013973543,2018
3.119,Prince Edward Island,2021A000211,-23,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)",Kilotonnes,198,v1013973543,2019
3.119,Prince Edward Island,2021A000211,-19,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)",Kilotonnes,198,v1013973543,2017
3.119,Prince Edward Island,2021A000211,-14,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)",Kilotonnes,198,v1013973543,2020
3.119,Prince Edward Island,2021A000211,4,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)",Kilotonnes,198,v1013973543,2016
3.119,Prince Edward Island,2021A000211,20,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)",Kilotonnes,198,v1013973543,2021
