*DESCRIPTION
*1HR
*8HR
*24HR
*DMAX1HR
*DAILYMEAN
************DESCRIPTION************
"File Generated On:","2024-03-25"
"",""
"Pollutant: PM10",""
"Units: ug/m3",""
"Day: from midnight to midnight.",""
"All data reported in standard local time",""
"",""
"Reporting Criteria for 1hr report:",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid measurements",""
"Annual average and standard deviation are reported if 50% of hours in year are valid and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for 8hr report:",""
"Running 8 hour averages are calculated with reporting hour being end hour (eg. 8pm = average of 1pm to 8pm)",""
"8 hour averages are valid if at least 6 of the 8 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 8-hour average",""
"Annual average and standard deviation are reported if 50% of running 8-hour averages are valid and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for 24hr report:",""
"Running 24 hour averages are calculated with reporting hour being end hour (eg. 8pm = 24 hour average from 9pm previous day to 8pm)",""
"24 hour averages are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 24-hour average",""
"Annual average and standard deviation are reported if 50% of running 24-hour averages are valid and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for DMax1hr report:",""
"Daily max 1-hour only valid if at least 18 of 24 hours have valid data",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily 1-hr max",""
"Annual average and standard deviation are reported if 50% of days have valid daily 1-hr max and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for DailyMean report:",""
"Daily means are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily mean",""
"Annual average and standard deviation are reported if 50% of days have daily mean and each quarter has at least 2 valid months",""
************1HR************
"NAPS ID","City","P/T","Location","Latitude","Longitude","Elevation","ID","Minimum","10th Percentile","30th Percentile","50th Percentile","70th Percentile","80th Percentile","90th Percentile","95th Percentile","98th Percentile","99th Percentile","99.9th Percentile","Maximum","Percent Completeness","January","February","March","April","May","June","July","August","September","October","November","December","Mean","Standard Deviation","",""
"082002","Buffalo Narrows","SK","Buffalo Narrows Forest Protection Base","55.83456421","-108.4033356","425","8HR","0","1","2","3","6","9","15","26","36","43","94","104","70.59360731","3","1","2","3","7","11","14","11","9","2","","","","","",""
"100110","Metro Van - Burnaby","BC","700 Hammarskjold Drive","49.27921295","-122.9707108","104","8HR","0","3","4","5","7","8","9","11","17","36","53","54","89.46347032","5","5","4","4","7","6","","12","10","6","5","6","6","5.071563181","",""
"100111","Metro Van - Port Moody","BC","Moody & Esplanade St.","49.28089142","-122.8492889","6","8HR","1","5","7","9","13","16","21","29","69","76","114","128","98.36757991","9","9","6","7","12","12","15","35","18","11","9","10","13","12.94128987","",""
"100119","Metro Van - Burnaby","BC","5455 Rumble Street","49.21519089","-122.9856644","122","8HR","0","4","6","8","11","13","17","23","45","55","90","101","99.94292237","8","7","6","7","10","11","10","23","14","9","8","10","10","8.91035976","",""
"100134","Metro Van - Richmond","BC","3153 Templeton Street","49.18626404","-123.15242","1","8HR","1","5","7","9","12","14","19","24","37","45","58","63","99.78310502","11","9","7","8","11","11","12","20","15","11","9","10","11","7.408079755","",""
"100137","Metro Van - Burnaby","BC","Eton And Madison Ave Burnaby","49.28748322","-123.0079727","70","8HR","0","4","6","8","12","15","20","27","64","72","105","119","99.80593607","8","7","6","7","11","12","14","33","17","9","8","8","12","12.1728359","",""
"100202","Prince George","BC","Plaza 400, 1011 4th Avenue","53.91471863","-122.7419434","588","8HR","2","5","9","13","21","28","38","49","73","89","140","408","60.68493151","16","14","18","15","18","15","24","36","","","","","","","",""
"100701","Kelowna","BC","3333 College Way","49.86233521","-119.4773636","347","8HR","1","6","8","11","16","20","30","50","86","98","131","138","97.10045662","10","13","14","11","12","10","21","45","27","13","13","10","17","17.39325086","",""
"101003","Metro Van - Abbotsford","BC","32995 Bevan Ave.","49.04257965","-122.3098221","58","8HR","0","4","6","9","12","14","19","24","50","59","98","123","97.78538813","8","8","5","7","11","12","13","27","15","11","8","8","11","10.24826009","",""
"101005","Metro Van - Abbotsford","BC","1073 Columbia Street","49.02155304","-122.3265228","65","8HR","0","5","7","10","15","20","27","39","60","71","115","130","94.46347032","10","11","7","8","19","18","15","29","21","12","10","12","14","13.17434549","",""
"101101","Metro Van-Chilliwack","BC","46360 Airport Road","49.15584946","-121.9402771","12","8HR","0","4","7","9","12","15","20","30","69","79","137","174","91.74657534","9","10","5","7","12","12","15","35","","9","8","8","12","14.10760242","",""
"101301","Metro Van-Langley","BC","23752 52nd Avenue","49.09561157","-122.5671005","88","8HR","0","4","6","8","11","13","16","22","48","59","76","88","99.24657534","7","6","5","7","10","10","10","24","13","12","8","9","10","9.320681601","",""
"101401","Metro Van-Hope","BC","62715 Airport Road","49.36988831","-121.4991226","40","8HR","0","4","6","8","10","12","17","29","82","98","128","151","98.12785388","6","7","5","7","10","11","14","39","18","8","7","6","12","15.98988858","",""
"101701","Quesnel","BC","585 Callanan Street","52.98168564","-122.4932251","490","8HR","1","6","10","16","24","31","45","68","104","133","273","287","89.65753425","16","20","28","16","18","19","36","51","23","15","","8","23","26.18440683","",""
"102302","Powell River","BC","6105 Lund St.","49.88689423","-124.5581055","136","8HR","1","4","5","6","8","9","12","16","44","56","80","89","99.02968037","5","5","5","5","7","7","9","23","10","8","7","5","8","8.503985329","",""
