NAPS ID,City,P/T,Location,Latitude,Longitude,Elevation,ID,Minimum,Maximum,January,February,March,April,May,June,July,August,September,October,November,December,Mean,Standard Deviation
100318,Victoria,BC,21 Erie St.,48.42141724,-123.3841782,0,1HR,0,5.3,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.3,0.1,0.207057497
100401,Kamloops,BC,317 Seymour St.,50.67477036,-120.3340149,381,1HR,0,13.7,0.9,0.8,0.7,0.7,0.2,0.2,0.4,0.9,0.6,0.2,0.3,0.2,0.5,0.719071182
100701,Kelowna,BC,3333 College Way,49.86233521,-119.4773636,347,1HR,0,6.7,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.3,0.1,0.2,0.2,0.3,0.217567056
101003,Metro Van - Abbotsford,BC,32995 Bevan Ave.,49.04257965,-122.3098221,58,1HR,0,6,0,0.1,0.1,0.1,0.2,0.2,0.2,0.4,0.2,0.2,0.1,0.2,0.2,0.27203176
101005,Metro Van - Abbotsford,BC,1073 Columbia Street,49.02155304,-122.3265228,65,1HR,0,4,0.1,0.1,0.1,0,0.2,0.2,0.2,0.3,0.1,0.1,0,0,0.1,0.221858416
101101,Metro Van-Chilliwack,BC,46360 Airport Road,49.15584946,-121.9402771,12,1HR,0,4.1,0,0.1,0,0.1,0.2,0.2,0.3,0.3,0.2,0.1,0,0,0.1,0.231430321
101202,Metro Van-Pitt Meadows,BC,18477 Dewdny Trunk,49.24523163,-122.7088928,5,1HR,0,11.4,0.5,0.4,0.2,0.2,0.4,0.4,0.4,0.5,0.5,0.4,0.2,0.7,0.4,0.512661677
101301,Metro Van-Langley,BC,23752 52nd Avenue,49.09561157,-122.5671005,88,1HR,0,4.2,0.1,0.1,0,0.1,0.2,0.3,0.2,0.3,0.2,0.1,0.1,0.2,0.2,0.26469577
101603,Squamish,BC,38370 Buckley Avenue,49.70515823,-123.151329,6,1HR,0,18,0.9,1.2,0.8,0.9,0.5,0.7,0.5,0.7,0.4,0.2,0.2,0.2,0.6,0.712737199
101701,Quesnel,BC,585 Callanan Street,52.98168564,-122.4932251,490,1HR,0,9.7,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.4,0.2,0.2,0.1,0.1,0.2,0.453882588
102201,Trail,BC,1875 Columbia Ave.,49.09621811,-117.6978302,422,1HR,0,395.1,14.1,13.9,7.5,10.8,16,12.7,12.7,13.4,10.3,9.7,6.4,9.1,11.4,25.65167385
102210,Trail,BC,8995 Highway 22a,49.04640579,-117.6071091,0,1HR,0,123.8,10.6,10.2,5,3.3,6.6,4.3,3.8,5.6,4.3,3.2,4.4,4.4,5.4,9.850988832
102220,Trail,BC,395 Schofield Highway,49.09519958,-117.7469025,0,1HR,0,385.5,9.2,5.1,7.4,6.2,8.7,11.5,17.1,12.8,16.3,11.9,5.4,9.4,10.1,26.6804803
102230,Trail,BC,S End,49.15785599,-117.7331238,0,1HR,0,353.5,18.3,7.8,11,5.7,2.7,5.2,5.9,4.9,7.8,11.5,13.2,11.9,8.9,17.76353894
102503,Terrace,BC,3411 Munroe Street,54.5216713,-128.6074982,81,1HR,0,7.7,0.4,0.4,0.5,0.5,0.5,0.8,0.8,0.6,0.4,0.2,0.2,0.2,0.5,0.652717717
102602,Port Alberni,BC,4645 Helen Street,49.26101303,-124.8066254,21,1HR,0,2.5,0.2,0.2,,,,,,,,,,,,
102701,Williams Lake,BC,1045 Western Avenue,52.14427948,-122.1503906,631,1HR,0,3.2,0.4,0.7,0.4,0.2,0.3,0.4,0.2,0.2,0.1,0.1,0.2,0.3,0.3,0.288686923
103502,Castlegar,BC,801 9th Avenue,49.31769943,-117.6615295,407,1HR,0,75.7,7,1.9,2.3,1.1,0.6,1.2,1.6,1.2,2.2,2.5,4.6,4.7,2.6,6.270455689
103702,Pine River,BC,Gas Plant Site,55.57453156,-121.9212494,1159,1HR,0,118.3,3,1.8,0.8,1.3,2.6,1.1,0.7,2.4,6,5,2.7,6.7,2.9,6.756540176
103704,Pine River,BC,Pine River Gas Plant,55.60559845,-121.9721985,610,1HR,0,9.7,0.1,0.2,0.2,0.2,0.3,0.2,0.1,0.2,0.2,0.1,0.3,0.2,0.2,0.308950288
103901,Kitimat,BC,651 Columbia Ave W,54.05389023,-128.6714325,18,1HR,0,44.7,0.2,0.6,0.3,0.6,0.7,0.8,0.6,0.2,0.5,0.3,0.1,0.1,0.4,1.507515204
