*DESCRIPTION
*1HR
*8HR
*24HR
*DMAX1HR
*DAILYMEAN
************DESCRIPTION************
"File Generated On:","2024-03-25"
"",""
"Annual Summary Report",""
"Pollutant: PM10",""
"Units: ug/m3",""
"Day: from midnight to midnight.",""
"All data reported in standard local time",""
"",""
"Reporting Criteria for 1hr report:",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid measurements",""
"Annual average and standard deviation are reported if 50% of hours in year are valid and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for 8hr report:",""
"Running 8 hour averages are calculated with reporting hour being end hour (eg. 8pm = average of 1pm to 8pm)",""
"8 hour averages are valid if at least 6 of the 8 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 8-hour average",""
"Annual average and standard deviation are reported if 50% of running 8-hour averages are valid and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for 24hr report:",""
"Running 24 hour averages are calculated with reporting hour being end hour (eg. 8pm = 24 hour average from 9pm previous day to 8pm)",""
"24 hour averages are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 24-hour average",""
"Annual average and standard deviation are reported if 50% of running 24-hour averages are valid and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for DMax1hr report:",""
"Daily max 1-hour only valid if at least 18 of 24 hours have valid data",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily 1-hr max",""
"Annual average and standard deviation are reported if 50% of days have valid daily 1-hr max and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for DailyMean report:",""
"Daily means are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily mean",""
"Annual average and standard deviation are reported if 50% of days have daily mean and each quarter has at least 2 valid months",""
************1HR************
"NAPS ID","City","P/T","Location","Latitude","Longitude","Elevation","ID","Minimum","10th Percentile","30th Percentile","50th Percentile","70th Percentile","80th Percentile","90th Percentile","95th Percentile","98th Percentile","99th Percentile","99.9th Percentile","Maximum","Percent Completeness","January","February","March","April","May","June","July","August","September","October","November","December","Mean","Standard Deviation","",""
"101701","Quesnel","BC","585 Callanan Street","52.98168564","-122.4932251","490","8HR","0","4","7","9","12","15","20","26","35","45","70","79","92.64571949","10","15","13","11","9","8","7","6","","17","16","12","11","7.966927885","",""
"102302","Powell River","BC","6105 Lund St.","49.88689423","-124.5581055","136","8HR","1","4","5","6","7","8","10","11","13","14","17","19","88.12613843","5","5","5","9","8","","7","8","7","7","5","5","6","2.514231495","",""
"102303","Powell River","BC","6388 Sutherland Drive","49.88929749","-124.5624008","125","8HR","0","3","5","6","7","8","10","12","14","16","25","30","87.93260474","4","5","5","9","8","","6","7","7","6","5","6","6","2.893861553","",""
"102401","Smithers","BC","4020 Broadway Avenue","54.78330612","-127.1773224","495","8HR","0","4","7","10","15","18","24","34","47","57","89","94","97.26775956","11","17","20","14","12","8","10","11","11","17","11","17","13","10.76934814","",""
"102701","Williams Lake","BC","1045 Western Avenue","52.14427948","-122.1503906","631","8HR","1","5","8","11","15","18","23","27","35","41","62","79","99.6129326","9","16","15","15","13","11","11","14","11","12","13","13","13","7.972741478","",""
"103202","Golden","BC","835 9th Avenue South","51.2974968","-116.9668503","791","8HR","1","6","9","12","17","20","26","34","52","79","143","167","99.32832423","12","32","21","14","13","14","13","14","12","13","16","13","16","13.34419163","",""
"103502","Castlegar","BC","801 9th Avenue","49.31769943","-117.6615295","407","8HR","1","5","8","10","13","15","18","23","32","41","72","77","99.44216758","9","18","11","14","11","11","10","11","8","11","12","10","11","7.039115165","",""
"103901","Kitimat","BC","651 Columbia Ave W","54.05389023","-128.6714325","18","8HR","0","4","6","7","9","10","13","15","18","19","54","62","56.29553734","8","7","8","8","9","9","5","","","","","","","","",""
"104003","Vernon","BC","2704 Highway 6","50.2606163","-119.2707214","476","8HR","2","6","10","13","19","23","36","49","72","89","133","146","99.5787796","13","38","29","21","12","11","9","15","13","16","27","14","18","16.17071008","",""
"105101","Houston","BC","Firehall, 3382 11 Street","54.3985939","-126.6468353","602","8HR","1","4","7","10","15","19","27","36","49","59","90","117","62.9212204","9","18","22","12","","","","","12","13","11","10","","","",""
"105201","Burns Lake","BC","#8 4th Ave., Fire Centre","54.23073196","-125.7643509","710","8HR","1","4","7","11","15","20","28","42","64","84","137","177","95.27550091","9","24","29","14","10","13","10","16","11","17","12","11","15","15.1665413","",""
"105301","Langdale","BC","1551 Johnson Rd.","49.43884659","-123.479187","90","8HR","1","4","6","7","9","10","12","14","17","19","25","25","16.50728597","6","","","","9","","","","","","","","","","",""
"105504","Fort St. John","BC","10511 99 Avenue","56.2447319","-120.856102","679","8HR","0","4","7","11","17","22","32","44","62","78","156","251","91.643898","11","14","","29","22","18","15","13","21","12","19","6","16","16.15763635","",""
"129003","Yellowknife","NT","52nd Ave & 49t Street, Sir John Franklin High School","62.45206833","-114.3639984","193","8HR","0","2","5","7","11","14","24","36","63","90","246","312","99.27140255","6","7","14","39","15","11","16","9","8","5","5","8","12","18.59894255","",""
"129102","Norman Wells","NT","#7 Forestry Road N. Wells","65.27925873","-126.8130569","60","8HR","0","3","5","8","16","27","46","66","93","114","220","264","95.36657559","5","8","13","18","27","29","44","25","14","11","8","13","18","24.54230239","",""
"129203","Inuvik","NT","Bompas Road (Block21, Lot 4084)","68.35701752","-133.7140503","30","8HR","0","3","7","11","20","27","37","47","58","66","122","148","95.56010929","8","4","7","22","22","25","26","26","26","17","6","8","17","15.33451034","",""
"129601","Fort Smith","NT","95 Conibear Crescent","60.00455093","-111.8932419","358","8HR","0","0","2","4","9","12","20","27","39","48","90","138","81.98998179","2","4","4","7","17","11","15","9","9","4","4","","8","10.50425156","",""
************24HR************
"NAPS ID","City","P/T","Location","Latitude","Longitude","Elevation","ID","Minimum","10th Percentile","30th Percentile","50th Percentile","70th Percentile","80th Percentile","90th Percentile","95th Percentile","98th Percentile","99th Percentile","99.9th Percentile","Maximum","Percent Completeness","January","February","March","April","May","June","July","August","September","October","November","December","Mean","Standard Deviation","",""
"070119","Winnipeg","MB","65 Ellen Street","49.89799118","-97.14653015","229","24HR","2","5","8","13","19","22","30","38","49","52","65","67","90.30054645","5","11","24","21","26","14","16","19","","11","11","6","15","11.05827958","",""
"070203","Brandon","MB","1430 Victoria Avenue East (Assiniboine Community College)","49.83917999","-99.92060089","385","24HR","0","3","6","9","15","19","24","30","41","45","67","70","83.41302368","5","5","13","14","21","18","","","15","11","13","6","","","",""
"070301","Flin Flon","MB","143 Main Street","54.76852036","-101.8774719","339","24HR","0","3","5","7","10","13","18","26","34","41","90","96","80.37340619","4","5","12","10","21","10","7","11","8","6","13","9","9","8.642985457","",""
"070501","Thompson","MB","48 Thompson Drive N","55.74718857","-97.87352753","205","24HR","1","3","4","6","9","12","16","22","28","33","45","47","99.23724954","7","9","12","14","13","9","7","5","7","4","5","5","8","6.391222737","",""
"080111","Regina","SK","1621 Albert St.","50.45270157","-104.6159973","585","24HR","2","9","14","18","25","30","44","56","67","73","101","104","51.47996357","","14","17","29","37","","","","","","25","13","","","",""
"100110","Metro Van - Burnaby","BC","700 Hammarskjold Drive","49.27921295","-122.9707108","104","24HR","2","4","5","6","7","8","10","11","12","12","14","15","99.24863388","6","5","4","8","7","7","8","9","7","5","5","5","6","2.239523654","",""
"100111","Metro Van - Port Moody","BC","Moody & Esplanade St.","49.28089142","-122.8492889","6","24HR","3","5","7","8","10","12","14","17","20","21","25","26","93.95491803","8","7","6","10","9","8","","16","12","9","8","8","9","3.76500727","",""
"100119","Metro Van - Burnaby","BC","5455 Rumble Street","49.21519089","-122.9856644","122","24HR","3","5","7","8","10","11","13","15","17","17","25","27","93.1010929","8","7","6","9","10","9","10","12","9","8","7","8","9","3.16868389","",""
