*DESCRIPTION
*1HR
*8HR
*24HR
*DMAX1HR
*DAILYMEAN
************DESCRIPTION************
"File Generated On:","2024-04-04"
"",""
"Annual Summary Report",""
"Pollutant: SO2",""
"Units: ppb",""
"Day: from midnight to midnight.",""
"All data reported in standard local time",""
"",""
"Reporting Criteria for 1hr report:",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid measurements",""
"Annual average and standard deviation are reported if 50% of hours in year are valid and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for 8hr report:",""
"Running 8 hour averages are calculated with reporting hour being end hour (eg. 8pm = average of 1pm to 8pm)",""
"8 hour averages are valid if at least 6 of the 8 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 8-hour average",""
"Annual average and standard deviation are reported if 50% of running 8-hour averages are valid and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for 24hr report:",""
"Running 24 hour averages are calculated with reporting hour being end hour (eg. 8pm = 24 hour average from 9pm previous day to 8pm)",""
"24 hour averages are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 24-hour average",""
"Annual average and standard deviation are reported if 50% of running 24-hour averages are valid and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for DMax1hr report:",""
"Daily max 1-hour only valid if at least 18 of 24 hours have valid data",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily 1-hr max",""
"Annual average and standard deviation are reported if 50% of days have valid daily 1-hr max and each quarter has at least 2 valid months",""
"",""
"Reporting Criteria for DailyMean report:",""
"Daily means are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily mean",""
"Annual average and standard deviation are reported if 50% of days have daily mean and each quarter has at least 2 valid months",""
************1HR************
"NAPS ID","City","P/T","Location","Latitude","Longitude","Elevation","ID","Minimum","10th Percentile","30th Percentile","50th Percentile","70th Percentile","80th Percentile","90th Percentile","95th Percentile","98th Percentile","99th Percentile","99.9th Percentile","Maximum","Percent Completeness","January","February","March","April","May","June","July","August","September","October","November","December","Mean","Standard Deviation","",""
"082002","Buffalo Narrows","SK","Buffalo Narrows Forest Protection Base","55.83456421","-108.4033356","425","1HR","0","0.1","0.1","0.1","0.2","0.2","0.3","0.5","0.8","1","2.2","5.4","98.80136986","0.2","0.4","0.3","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.3","0.2","0.2","0.210301176","",""
"090120","Edmonton","AB","6240 113 Street","53.50022125","-113.5260544","681","1HR","0","0","0","0","0","1","1","2","3","5","14","21","94.00684932","0.3","1","0.6","0.2","0.3","0.3","0.2","0.1","0.3","0.2","0.1","0.4","0.3","1.032164486","",""
"090121","Edmonton","AB","17 Street & 105 Avenue","53.54822922","-113.3681107","670","1HR","0","0","0","0","1","1","2","4","8","12","22","54","94.92009132","0.7","1.2","1","0.7","1.1","1","1.2","0.8","1.2","0.7","0.7","1.1","0.9","2.267107293","",""
"090133","Edmonton","AB","","53.56441116","-113.5625839","670","1HR","0","0","0.1","0.3","0.5","0.6","1","1.5","2.3","3.2","8.4","125.1","94.9086758","0.4","0.8","1","0.4","0.4","0.5","0.5","0.4","0.3","0.3","0.3","0.4","0.5","1.702058778","",""
"090134","Sherwood Park","AB","Ottwell House Park","53.53209305","-113.3209839","709","1HR","0","0","0","0.5","1","2","3.3","7","12.3","18.6","41.9","59.6","94.79452055","1.6","2.2","1.7","1.3","1.1","2","1.5","1.8","1.1","1.9","1.4","0.8","1.5","3.648906638","",""
"090135","Ardrossan","AB","","53.55469131","-113.1449051","707","1HR","0","0","0","0.1","0.6","1","2","4","6.7","8.2","18","26","94.97716895","0.8","1.3","1.4","0.5","0.3","0.5","0.6","0.4","0.4","0.7","0.9","1.3","0.8","1.728307228","",""
"090229","Calgary","AB","4700 110 Avenue Se","50.9551239","-113.9697418","1032","1HR","0","0","0","0.1","0.3","0.5","1","1","1.8","2","4.2","6","94.49771689","0.4","0.5","0.4","0.2","0.2","0.2","0","0.2","0.2","0.4","0.4","0.4","0.3","0.487668941","",""
"090302","Red Deer","AB","73 Street & Riverside Drive","52.29867172","-113.7935181","858","1HR","0","0","0","0","0.1","0.2","0.5","1","1.1","2","5","8","94.84018265","0.1","0.8","0.2","0","0.1","0","0","0.2","0.1","0.1","0.2","0.3","0.2","0.469877021","",""
"090304","Red Deer","AB","11 Lancaster Drive","52.24095154","-113.7654419","907","1HR","0","0","0","0.2","0.5","0.8","1","1","2","3","5","8","93.48173516","0.7","1.3","0.6","0.1","0.2","0.3","0","0.3","0.2","0.4","0.4","0.5","0.4","0.572377108","",""
"090502","Lethbridge","AB","","49.71620941","-112.8005981","918","1HR","0","0","0","0","0","0","0","1","1","1","2","3","93.56164384","0","0.4","0.1","0","0","0","0","0","0","0.1","0.1","0.1","0.1","0.265274036","",""
