NAPS_ID,Station_Name,City,Province/Territory_EN,Province_Code,Latitude,Longitude,Status,Start_Date,End_Date
50136,MONTRÉAL - ST-DOMINIQUE,MONTRÉAL,QUEBEC,QC,45.512189,-73.566842,1,2016-01-28,
50137,TERREBONNE - PARC VAILLANT,TERREBONNE,QUEBEC,QC,45.70476,-73.65776,1,2016-11-16,
50138,MONTRÉAL-YORK/ROBERVAL,MONTRÉAL,QUEBEC,QC,45.464611,-73.582583,1,2015-12-31,
50201,GATINEAU - EDDY,GATINEAU,QUEBEC,QC,45.4248,-75.72075,0,1974-01-01,1976-06-04
50203,GATINEAU - GAMELIN,GATINEAU,QUEBEC,QC,45.444167,-75.738889,0,1977-04-01,1996-12-18
50204,GATINEAU - HULL,GATINEAU,QUEBEC,QC,45.435987,-75.723429,1,1997-01-23,
50303,QUÉBEC - LIMOILOU,QUÉBEC,QUEBEC,QC,46.82611,-71.2269,0,1974-03-22,1989-02-28
50304,QUÉBEC - DORCHESTER,QUÉBEC,QUEBEC,QC,46.81618,-71.22926,0,1974-07-17,1983-10-20
50305,QUÉBEC - MYRAND,QUÉBEC,QUEBEC,QC,46.783611,-71.263333,0,1975-10-29,1980-03-31
50306,QUÉBEC - GOMIN,QUÉBEC,QUEBEC,QC,46.78806,-71.26056,0,1980-04-01,1998-08-17
50307,QUÉBEC - CARTIER-BRÉBEUF,QUÉBEC,QUEBEC,QC,46.824444,-71.234722,0,1983-11-01,1998-09-02
50308,QUÉBEC - VIEUX-LIMOILOU,QUÉBEC,QUEBEC,QC,46.821177,-71.220495,1,1989-12-16,
50309,QUÉBEC - SAINT-ANGE,QUÉBEC,QUEBEC,QC,46.76887,-71.40236,0,1991-01-03,2005-10-31
50310,QUÉBEC - COLLÈGE ST-CHARLES-GARNIER,QUÉBEC,QUEBEC,QC,46.794873,-71.246387,1,2000-09-07,
50311,QUÉBEC - ÉCOLE LES PRIMEVÈRES,QUÉBEC,QUEBEC,QC,46.774167,-71.369722,1,2005-01-18,
50313,QUÉBEC - HENRI-IV,QUÉBEC,QUEBEC,QC,46.781321,-71.308717,1,2019-12-31,
50314,QUÉBEC - CHARLESBOURG,QUÉBEC,QUEBEC,QC,46.861472,-71.257192,1,2020-12-31,
50404,SHERBROOKE - PARC-CAMBRON,SHERBROOKE,QUEBEC,QC,45.41231,-71.8746,0,2003-09-24,2022-02-23
50405,SHERBROOKE - PARC SYLVIE-DAIGLE,SHERBROOKE,QUEBEC,QC,45.414361,-71.882694,1,2023-03-16,
50504,SAGUENAY - UQAC,SAGUENAY,QUEBEC,QC,48.416374,-71.052412,1,2002-09-24,
50601,ROUYN-NORANDA - HOTEL DE VILLE,ROUYN-NORANDA,QUEBEC,QC,48.23704,-79.01706,0,1974-10-25,1992-09-09
50602,ROUYN-NORANDA - ÉCOLE LOOSEMORE,ROUYN-NORANDA,QUEBEC,QC,48.23333,-79.01139,0,1992-10-29,2002-11-29
50604,ROUYN-NORANDA - PARC TREMBLAY,ROUYN-NORANDA,QUEBEC,QC,48.234087,-78.982778,1,2001-01-01,
50701,SEPT-ÎLES - DE QUEN,SEPT-ÎLES,QUEBEC,QC,50.20984,-66.38546,0,1975-01-28,1984-09-30
50702,SEPT-ÎLES,SEPT-ÎLES,QUEBEC,QC,50.216266,-66.385195,1,2024-07-16,
50801,TROIS-RIVIÈRES - URSULINES,TROIS RIVIÈRES,QUEBEC,QC,46.34806,-72.5375,0,1975-07-01,2011-06-21
50802,TROIS-RIVIÈRES - DES DRAVEURS,TROIS RIVIÈRES,QUEBEC,QC,46.35103,-72.53904,0,2011-09-01,2014-06-25
50803,TROIS-RIVIÈRES - ÉCOLE MEES,TROIS RIVIÈRES,QUEBEC,QC,46.357175,-72.546187,1,2014-08-01,
50901,SAGUENAY - POWELL,SAGUENAY,QUEBEC,QC,48.43611,-71.19861,0,1975-06-19,1992-09-29
50902,SAGUENAY - PARC POWELL,SAGUENAY,QUEBEC,QC,48.43389,-71.18454,1,1989-04-04,
51001,SOREL-TRACY - LA FLÈCHE,SOREL-TRACY,QUEBEC,QC,46.0175,-73.15889,0,1977-01-01,1984-07-24
51111,DRUMMONDVILLE - STADE JACQUES-DESAUTELS,DRUMMONDVILLE,QUEBEC,QC,45.871345,-72.50309,1,2021-12-31,
51201,SHAWINIGAN - SAINT-MARC,SHAWINIGAN,QUEBEC,QC,46.55444,-72.73556,1,1977-08-04,
51301,BAIE-COMEAU - SAINTE-AMÉLIE,BAIE-COMEAU,QUEBEC,QC,49.21916,-68.14829,0,1977-07-26,1983-08-14
51302,BAIE-COMEAU - CENTRE CULTUREL,BAIE-COMEAU,QUEBEC,QC,49.2175,-68.14722,0,1987-01-01,2001-07-10
51401,SAINT-ÉTIENNE-DE-BEAUHARNOIS,SAINT-ÉTIENNE-DE-BEAUHARNOIS,QUEBEC,QC,45.25,-73.91667,0,1984-05-30,1987-10-13
51501,SAINT-ZÉPHIRIN-DE-COURVAL,ST. ZÉPHIRIN-DE-COURVAL,QUEBEC,QC,46.04223333,-72.65976111,1,1987-05-21,
51601,ST-FRANÇOIS-ÎLE-D'ORLÉANS - ARGENTENAY,ST-FRANÇOIS-ÎLE-D'ORLÉANS,QUEBEC,QC,47.01667,-70.8,0,1987-06-23,1987-10-13
51701,SAINT-BARNABÉ,ST-BARNABÉ,QUEBEC,QC,46.48333,-72.88333,0,1987-05-20,1987-10-14
51801,SAINT-JOSEPH-DE-SOREL - ÉCOLE MARTEL,SAINT-JOSEPH-DE-SOREL,QUEBEC,QC,46.045,-73.12972,0,1992-10-01,2009-12-31
51802,SOREL -TRACY - VIEUX-SOREL,SOREL-TRACY,QUEBEC,QC,46.04472,-73.11389,0,1998-01-01,2011-12-31
51901,FORESTVILLE - ROUTE 385,FORESTVILLE,QUEBEC,QC,48.85583,-69.09778,0,1992-09-23,1997-06-12
52001,CHARETTE,CHARETTE,QUEBEC,QC,46.4416,-72.89241,1,1989-01-01,
52101,SAINT-RÉMI-2,SAINT-RÉMI,QUEBEC,QC,45.20472,-73.64444,0,1992-01-01,1999-04-30
