File generated on // Fichier créé sur, 2024-01-26

Pollutant // Polluant:, PM10
Units // Unités, µg/m3
Note // Note,Data is hour ending local standard time // Données en heure normale locale
Note // Note,Zeros are valid. -999 denotes no data available // Zéros sont valides .-999 Données non disponibles

Pollutant//Polluant,NAPS ID//Identifiant SNPA,City//Ville,Province/Territory//Province/Territoire,Latitude//Latitude,Longitude//Longitude,Date//Date,H01//H01,H02//H02,H03//H03,H04//H04,H05//H05,H06//H06,H07//H07,H08//H08,H09//H09,H10//H10,H11//H11,H12//H12,H13//H13,H14//H14,H15//H15,H16//H16,H17//H17,H18//H18,H19//H19,H20//H20,H21//H21,H22//H22,H23//H23,H24//H24
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-03-21,5,9,9,9,7,15,36,34,22,21,24,20,20,16,17,24,23,20,21,30,15,29,23,12
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-03-22,13,10,14,9,11,28,36,57,37,36,42,52,44,34,53,93,16,21,4,10,10,9,10,4
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-03-23,14,12,11,10,9,9,11,14,18,31,34,36,29,29,33,32,27,25,17,19,19,8,5,3
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-03-24,2,3,3,5,4,4,6,8,6,6,7,15,10,8,15,10,11,8,14,18,15,19,23,14
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-03-25,9,8,4,3,2,2,5,7,8,14,31,29,26,16,17,15,12,10,8,7,8,6,6,6
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-03-26,6,7,6,6,6,7,9,9,7,8,12,15,14,14,10,10,11,12,9,11,8,9,6,7
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-03-27,3,3,4,4,0,5,9,15,25,27,26,30,18,24,36,50,35,11,12,9,7,8,8,7
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-03-28,6,4,4,4,5,4,7,7,8,24,30,41,26,31,29,38,34,16,18,21,25,26,26,25
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-03-29,13,8,9,11,16,23,51,51,34,44,65,50,42,34,47,64,52,32,20,21,27,7,5,2
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-03-30,0,1,1,1,2,1,2,4,5,9,17,22,21,22,28,25,25,28,21,14,15,18,14,11
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-03-31,7,9,9,9,9,2,7,7,7,10,14,13,17,12,14,16,8,11,8,8,9,10,9,5
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-04-01,4,4,2,4,3,5,6,6,7,9,15,10,9,11,15,17,28,22,17,14,12,6,11,11
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-04-02,11,8,9,6,2,3,3,21,24,36,45,32,18,13,11,10,10,4,5,20,21,22,14,8
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-04-03,3,9,2,5,4,5,13,18,30,32,40,25,20,18,23,36,30,26,24,45,35,22,5,11
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-04-04,2,13,11,34,50,50,97,101,35,22,17,24,28,34,24,27,32,21,11,13,12,12,4,8
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-04-05,19,40,33,16,18,39,46,35,22,17,16,15,17,17,20,29,22,20,13,14,25,26,27,22
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-04-06,8,8,7,8,9,27,90,70,55,21,12,15,23,18,30,35,26,24,22,24,20,16,13,9
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-04-07,8,10,6,6,16,20,24,35,58,56,77,79,55,60,87,65,64,66,32,23,15,13,16,16
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-04-08,17,15,17,17,15,15,16,20,26,28,29,23,22,21,26,14,18,7,33,28,18,16,14,9
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-04-09,8,4,9,3,6,9,6,4,1,7,5,4,8,14,18,20,16,11,10,8,7,6,5,6
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-04-10,4,4,1,1,1,5,15,16,11,12,10,12,12,11,24,24,16,23,15,14,19,31,55,9
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-04-11,15,12,11,10,20,28,60,41,31,20,13,12,16,15,17,24,19,20,26,22,22,22,25,23
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-04-12,28,56,29,44,41,116,152,82,54,26,14,9,15,13,16,31,25,24,29,26,16,21,20,20
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-04-13,9,12,25,27,27,39,67,73,84,54,34,25,14,14,20,24,22,32,42,39,51,68,44,14
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-04-14,9,58,18,19,17,23,12,8,6,7,10,21,28,25,36,32,19,18,21,17,21,41,27,3
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-04-15,4,4,1,3,2,0,7,6,7,1,8,2,3,4,6,6,7,14,51,21,6,2,5,3
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-04-16,9,3,3,7,14,2,2,5,4,5,7,10,3,17,5,4,2,0,1,0,4,2,2,1
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-04-17,4,3,3,3,4,5,6,6,8,6,4,12,13,14,10,10,12,8,5,8,8,6,9,9
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-04-18,5,9,4,4,5,9,18,24,13,12,16,21,13,18,30,29,17,10,7,11,14,23,20,3
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-04-19,5,2,6,24,14,42,51,43,61,27,19,12,10,17,18,27,27,11,22,27,31,27,55,63
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-04-20,60,130,105,109,103,197,266,133,82,25,22,16,33,2,15,20,20,22,8,12,20,20,16,16
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-04-21,20,17,22,18,21,33,74,61,71,34,22,20,17,16,18,27,27,19,24,40,77,138,66,29
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-04-22,10,8,6,7,3,2,3,2,3,4,5,5,6,8,10,11,12,12,14,12,16,14,8,9
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-04-23,12,12,13,6,7,9,11,13,11,15,12,12,11,11,11,10,12,15,15,15,13,12,16,13
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-04-24,10,6,10,6,8,23,25,31,23,22,11,11,7,6,5,5,4,4,4,6,6,5,5,5
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-04-25,4,4,5,5,7,9,13,16,13,15,18,15,20,20,30,29,29,20,14,15,13,15,11,10
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-04-26,8,5,5,5,7,13,18,29,21,18,21,20,26,22,25,28,23,18,15,11,10,10,8,7
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-04-27,8,6,7,7,8,17,24,24,15,14,20,24,27,39,38,32,27,20,10,11,13,15,10,8
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-04-28,10,13,13,11,14,22,34,30,26,19,15,14,16,17,19,24,20,18,16,16,25,32,41,64
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-04-29,53,48,47,66,74,80,81,58,17,14,12,12,14,12,21,22,25,23,26,28,24,26,20,16
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-04-30,17,15,14,12,11,12,14,18,14,16,22,19,17,16,16,15,14,13,13,17,19,22,32,21
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-05-01,10,8,9,15,25,40,64,55,31,40,19,22,23,17,26,24,20,24,27,24,24,19,15,37
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-05-02,20,14,13,14,16,24,37,40,33,30,18,12,15,14,15,18,18,29,21,21,29,29,35,33
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-05-03,37,33,22,21,17,18,16,14,15,17,16,12,14,14,15,20,19,16,17,22,29,26,28,50
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-05-04,55,43,74,24,25,105,158,80,46,45,29,26,19,19,25,24,20,19,19,24,31,33,35,33
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-05-05,31,22,20,33,26,29,50,59,40,33,31,29,27,32,28,40,35,30,28,16,30,18,21,22
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-05-06,22,22,22,17,10,12,11,11,15,16,14,13,13,13,13,18,14,19,15,12,15,14,17,11
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-05-07,8,5,5,5,4,4,6,10,9,13,15,12,14,11,11,12,10,12,11,12,11,14,13,7
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-05-08,6,7,7,9,17,12,11,9,6,7,23,18,22,23,29,37,20,34,33,28,21,10,3,3
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-05-09,4,0,2,3,5,7,12,14,10,13,13,24,16,14,12,15,14,6,9,8,10,10,9,6
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-05-10,4,4,3,5,5,6,9,12,12,7,12,9,9,19,18,22,15,12,11,10,16,22,19,11
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-05-11,10,5,4,9,17,25,19,19,9,8,8,8,12,13,14,18,19,16,13,14,14,14,8,11
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-05-12,8,5,4,2,6,15,37,33,14,14,16,12,14,15,22,24,26,15,16,13,18,14,13,12
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-05-13,9,6,7,8,9,10,11,13,20,21,27,23,20,16,13,15,15,16,21,18,18,24,23,8
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-05-14,12,8,6,7,6,8,13,25,20,22,43,58,37,22,28,31,27,30,23,24,31,32,37,34
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-05-15,13,23,16,13,19,28,31,37,39,31,23,24,16,12,18,17,17,16,18,19,25,30,32,36
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-05-16,27,24,15,14,13,17,37,17,12,13,9,10,10,9,8,10,14,10,7,11,12,12,10,8
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-05-17,8,6,2,2,2,5,7,8,8,7,6,10,8,10,14,12,10,10,9,9,7,5,6,6
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-05-18,7,7,7,6,5,8,11,11,9,12,13,11,11,8,10,11,10,11,13,15,16,16,14,14
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-05-19,19,22,26,40,40,34,41,32,29,29,16,12,15,14,14,17,25,18,16,17,54,183,31,22
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-05-20,23,23,23,19,16,20,20,18,20,14,8,10,13,13,11,14,12,9,14,12,13,12,21,16
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-05-21,12,9,6,4,5,6,5,3,5,6,6,4,4,4,4,7,8,5,4,5,6,4,3,3
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-05-22,4,6,6,5,3,4,4,5,7,5,6,7,3,4,3,4,5,5,6,5,5,8,5,3
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-05-23,4,4,4,6,8,8,12,12,10,9,6,8,10,8,9,12,10,8,7,16,38,47,35,27
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-05-24,33,16,13,13,17,28,23,22,13,13,11,16,20,15,17,20,18,18,16,15,14,14,14,12
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-05-25,9,8,8,7,8,11,18,18,17,16,15,18,16,19,14,19,19,22,18,14,15,13,12,12
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-05-26,9,8,6,5,7,15,22,22,13,14,11,13,11,13,10,12,21,6,9,13,13,10,11,8
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-05-27,7,8,7,7,6,8,11,11,10,5,4,8,5,10,16,8,8,11,8,10,11,12,11,11
PM10,070119,Winnipeg,MB,49.89799,-97.14653,2017-05-28,10,8,6,7,4,2,4,5,2,1,6,3,3,2,3,5,2,4,3,2,1,2,1,4
