Year,Sectors,Emissions
2016-01-01,Pharmaceutical and medicine manufacturing [BS32540],2.0
2016-01-01,Pipeline transportation [BS48600],1.0
2016-01-01,Plastic product manufacturing [BS32610],24.0
2016-01-01,Postal service and couriers and messengers [BS49A00],43.0
2016-01-01,Primary metal manufacturing [BS33100],0.0
2016-01-01,Printing and related support activities [BS32300],4.0
2016-01-01,Professional and similar organisations [BS81300],0.0
2016-01-01,"Publishing, pay/specialty services, telecommunications and other information services [BS51B00]",45.0
2016-01-01,"Pulp, paper and paperboard mills [BS32210]",926.0
2016-01-01,Radio and television broadcasting [BS51510],1.0
2016-01-01,Rail transportation [BS48200],31.0
2016-01-01,Railroad rolling stock manufacturing [BS33650],0.0
2016-01-01,Religious organizations [NP81310],5.0
2016-01-01,Rental and leasing services and lessors of non-financial intangible assets (except copyrighted works) [BS53B00],34.0
2016-01-01,Repair and maintenance [BS81100],42.0
2016-01-01,Repair and maintenance [FC11000],0.0
2016-01-01,Repair construction [BS23D00],21.0
2016-01-01,Residential building construction [BS23A00],46.0
2016-01-01,Retail trade (except cannabis) [BS4AA00],233.0
2016-01-01,Retail trade [BS4A000],0.0
2016-01-01,Rubber product manufacturing [BS32620],40.0
2016-01-01,Seafood product preparation and packaging [BS31170],43.0
2016-01-01,Ship and boat building [BS33660],4.0
2016-01-01,Soft drink and ice manufacturing [BS31211],2.0
2016-01-01,Sugar and confectionery product manufacturing [BS31130],0.0
2016-01-01,Support activities for agriculture and forestry [BS11500],56.0
2016-01-01,Support activities for mining and oil and gas extraction [BS21300],35.0
