REF_DATE,GEO,DGUID,Sector,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2019,Manitoba,2021A000246,Motor vehicle body and trailer manufacturing [BS33620],Kilotonnes,198,units,0,v1013974107,8.58,5,,,,0
2020,Manitoba,2021A000246,Motor vehicle body and trailer manufacturing [BS33620],Kilotonnes,198,units,0,v1013974107,8.58,3,,,,0
2021,Manitoba,2021A000246,Motor vehicle body and trailer manufacturing [BS33620],Kilotonnes,198,units,0,v1013974107,8.58,4,,,,0
2022,Manitoba,2021A000246,Motor vehicle body and trailer manufacturing [BS33620],Kilotonnes,198,units,0,v1013974107,8.58,5,,,,0
2023,Manitoba,2021A000246,Motor vehicle body and trailer manufacturing [BS33620],Kilotonnes,198,units,0,v1013974107,8.58,5,,,,0
2013,Manitoba,2021A000246,Motor vehicle parts manufacturing [BS33630],Kilotonnes,198,units,0,v1013974108,8.59,2,,,,0
2014,Manitoba,2021A000246,Motor vehicle parts manufacturing [BS33630],Kilotonnes,198,units,0,v1013974108,8.59,3,,,,0
2015,Manitoba,2021A000246,Motor vehicle parts manufacturing [BS33630],Kilotonnes,198,units,0,v1013974108,8.59,3,,,,0
2016,Manitoba,2021A000246,Motor vehicle parts manufacturing [BS33630],Kilotonnes,198,units,0,v1013974108,8.59,2,,,,0
2017,Manitoba,2021A000246,Motor vehicle parts manufacturing [BS33630],Kilotonnes,198,units,0,v1013974108,8.59,3,,,,0
2018,Manitoba,2021A000246,Motor vehicle parts manufacturing [BS33630],Kilotonnes,198,units,0,v1013974108,8.59,2,,,,0
2019,Manitoba,2021A000246,Motor vehicle parts manufacturing [BS33630],Kilotonnes,198,units,0,v1013974108,8.59,2,,,,0
2020,Manitoba,2021A000246,Motor vehicle parts manufacturing [BS33630],Kilotonnes,198,units,0,v1013974108,8.59,2,,,,0
2021,Manitoba,2021A000246,Motor vehicle parts manufacturing [BS33630],Kilotonnes,198,units,0,v1013974108,8.59,2,,,,0
2022,Manitoba,2021A000246,Motor vehicle parts manufacturing [BS33630],Kilotonnes,198,units,0,v1013974108,8.59,2,,,,0
2023,Manitoba,2021A000246,Motor vehicle parts manufacturing [BS33630],Kilotonnes,198,units,0,v1013974108,8.59,2,,,,0
2013,Manitoba,2021A000246,Aerospace product and parts manufacturing [BS33640],Kilotonnes,198,units,0,v1013974109,8.6,14,,,,0
2014,Manitoba,2021A000246,Aerospace product and parts manufacturing [BS33640],Kilotonnes,198,units,0,v1013974109,8.6,21,,,,0
2015,Manitoba,2021A000246,Aerospace product and parts manufacturing [BS33640],Kilotonnes,198,units,0,v1013974109,8.6,26,,,,0
2016,Manitoba,2021A000246,Aerospace product and parts manufacturing [BS33640],Kilotonnes,198,units,0,v1013974109,8.6,28,,,,0
2017,Manitoba,2021A000246,Aerospace product and parts manufacturing [BS33640],Kilotonnes,198,units,0,v1013974109,8.6,47,,,,0
2018,Manitoba,2021A000246,Aerospace product and parts manufacturing [BS33640],Kilotonnes,198,units,0,v1013974109,8.6,22,,,,0
2019,Manitoba,2021A000246,Aerospace product and parts manufacturing [BS33640],Kilotonnes,198,units,0,v1013974109,8.6,33,,,,0
2020,Manitoba,2021A000246,Aerospace product and parts manufacturing [BS33640],Kilotonnes,198,units,0,v1013974109,8.6,19,,,,0
2021,Manitoba,2021A000246,Aerospace product and parts manufacturing [BS33640],Kilotonnes,198,units,0,v1013974109,8.6,18,,,,0
2022,Manitoba,2021A000246,Aerospace product and parts manufacturing [BS33640],Kilotonnes,198,units,0,v1013974109,8.6,22,,,,0
2023,Manitoba,2021A000246,Aerospace product and parts manufacturing [BS33640],Kilotonnes,198,units,0,v1013974109,8.6,24,,,,0
2013,Manitoba,2021A000246,Railroad rolling stock manufacturing [BS33650],Kilotonnes,198,units,0,v1013974110,8.61,,0s,,,0
2014,Manitoba,2021A000246,Railroad rolling stock manufacturing [BS33650],Kilotonnes,198,units,0,v1013974110,8.61,,0s,,,0
2015,Manitoba,2021A000246,Railroad rolling stock manufacturing [BS33650],Kilotonnes,198,units,0,v1013974110,8.61,,0s,,,0
2016,Manitoba,2021A000246,Railroad rolling stock manufacturing [BS33650],Kilotonnes,198,units,0,v1013974110,8.61,,0s,,,0
