"REF_DATE","GEO","DGUID","Sector","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Prince Edward Island","2021A000211","Total, households","Kilotonnes","198","units","0","v1013973539","3.115","789","","","","0"
"2019","Prince Edward Island","2021A000211","Total, households","Kilotonnes","198","units","0","v1013973539","3.115","806","","","","0"
"2020","Prince Edward Island","2021A000211","Total, households","Kilotonnes","198","units","0","v1013973539","3.115","706","","","","0"
"2021","Prince Edward Island","2021A000211","Total, households","Kilotonnes","198","units","0","v1013973539","3.115","697","","","","0"
"2022","Prince Edward Island","2021A000211","Total, households","Kilotonnes","198","units","0","v1013973539","3.115","701","","","","0"
"2023","Prince Edward Island","2021A000211","Total, households","Kilotonnes","198","units","0","v1013973539","3.115","698","","","","0"
"2013","Prince Edward Island","2021A000211","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973542","3.118","1648","","","","0"
"2014","Prince Edward Island","2021A000211","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973542","3.118","1587","","","","0"
"2015","Prince Edward Island","2021A000211","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973542","3.118","1548","","","","0"
"2016","Prince Edward Island","2021A000211","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973542","3.118","1594","","","","0"
"2017","Prince Edward Island","2021A000211","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973542","3.118","1616","","","","0"
"2018","Prince Edward Island","2021A000211","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973542","3.118","1590","","","","0"
"2019","Prince Edward Island","2021A000211","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973542","3.118","1633","","","","0"
"2020","Prince Edward Island","2021A000211","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973542","3.118","1585","","","","0"
"2021","Prince Edward Island","2021A000211","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973542","3.118","1628","","","","0"
"2022","Prince Edward Island","2021A000211","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973542","3.118","1606","","","","0"
"2023","Prince Edward Island","2021A000211","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v1013973542","3.118","1592","","","","0"
"2013","Prince Edward Island","2021A000211","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973543","3.119","73","","","","0"
"2014","Prince Edward Island","2021A000211","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973543","3.119","35","","","","0"
"2015","Prince Edward Island","2021A000211","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973543","3.119","49","","","","0"
"2016","Prince Edward Island","2021A000211","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973543","3.119","4","","","","0"
"2017","Prince Edward Island","2021A000211","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973543","3.119","-19","","","","0"
"2018","Prince Edward Island","2021A000211","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973543","3.119","-32","","","","0"
"2019","Prince Edward Island","2021A000211","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973543","3.119","-23","","","","0"
"2020","Prince Edward Island","2021A000211","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973543","3.119","-14","","","","0"
"2021","Prince Edward Island","2021A000211","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973543","3.119","20","","","","0"
"2022","Prince Edward Island","2021A000211","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973543","3.119","23","","","","0"
"2023","Prince Edward Island","2021A000211","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v1013973543","3.119","59","","","","0"
"2013","Nova Scotia","2021A000212","Total, industries and households","Kilotonnes","198","units","0","v1013973552","4.1","18507","","","","0"
"2014","Nova Scotia","2021A000212","Total, industries and households","Kilotonnes","198","units","0","v1013973552","4.1","17094","","","","0"
"2015","Nova Scotia","2021A000212","Total, industries and households","Kilotonnes","198","units","0","v1013973552","4.1","17052","","","","0"
"2016","Nova Scotia","2021A000212","Total, industries and households","Kilotonnes","198","units","0","v1013973552","4.1","16360","","","","0"
"2017","Nova Scotia","2021A000212","Total, industries and households","Kilotonnes","198","units","0","v1013973552","4.1","16707","","","","0"
"2018","Nova Scotia","2021A000212","Total, industries and households","Kilotonnes","198","units","0","v1013973552","4.1","17280","","","","0"
"2019","Nova Scotia","2021A000212","Total, industries and households","Kilotonnes","198","units","0","v1013973552","4.1","16441","","","","0"
"2020","Nova Scotia","2021A000212","Total, industries and households","Kilotonnes","198","units","0","v1013973552","4.1","14081","","","","0"
"2021","Nova Scotia","2021A000212","Total, industries and households","Kilotonnes","198","units","0","v1013973552","4.1","13861","","","","0"
