station_id,Month,Day,Baseline Mean Temp (°C)
8202502,1,14,-1.6083333333333334
8202502,1,15,-3.904
8202502,1,16,-4.025
8202502,1,17,-4.591304347826087
8202502,1,18,-4.412
8202502,1,19,-3.4416666666666664
8202502,1,20,-2.4916666666666667
8202502,1,21,-4.864
8202502,1,22,-6.608
8202502,1,23,-6.0760000000000005
8202502,1,24,-4.868
8202502,1,25,-5.547999999999999
8202502,1,26,-5.62
8202502,1,27,-4.388
8202502,1,28,-3.6
8202502,1,29,-4.228
8202502,1,30,-4.372
8202502,1,31,-5.092
8202502,2,1,-5.716
8202502,2,2,-4.348
8202502,2,3,-4.288
8202502,2,4,-4.516
8202502,2,5,-4.372
8202502,2,6,-5.24
8202502,2,7,-5.148
8202502,2,8,-4.232
8202502,2,9,-6.167999999999999
8202502,2,10,-5.388000000000001
8202502,2,11,-4.628
8202502,2,12,-4.641666666666667
8202502,2,13,-5.364
8202502,2,14,-5.656000000000001
8202502,2,15,-4.628
8202502,2,16,-2.524
8202502,2,17,-3.1
8202502,2,18,-4.328
8202502,2,19,-3.608333333333333
8202502,2,20,-3.4160000000000004
8202502,2,21,-3.884
8202502,2,22,-4.554166666666666
8202502,2,23,-3.2880000000000003
8202502,2,24,-3.196
8202502,2,25,-3.2
8202502,2,26,-3.9360000000000004
8202502,2,27,-4.288
8202502,2,28,-4.54
8202502,2,29,-4.016666666666667
8202502,3,1,-5.052
8202502,3,2,-2.612
8202502,3,3,-2.548
8202502,3,4,-4.092
8202502,3,5,-4.384
8202502,3,6,-3.336
8202502,3,7,-2.6719999999999997
8202502,3,8,-2.244
8202502,3,9,-2.528
8202502,3,10,-3.036
8202502,3,11,-1.78
8202502,3,12,-0.6319999999999999
8202502,3,13,-1.44
8202502,3,14,-1.6958333333333335
8202502,3,15,-1.7
8202502,3,16,-1.328
8202502,3,17,-0.94
8202502,3,18,-0.6559999999999999
8202502,3,19,-1.56
8202502,3,20,-1.04
8202502,3,21,0.05600000000000003
8202502,3,22,0.11999999999999997
8202502,3,23,-0.752
8202502,3,24,-1.0599999999999998
8202502,3,25,-1.232
8202502,3,26,-0.608
8202502,3,27,0.11999999999999998
8202502,3,28,0.6919999999999998
8202502,3,29,1.3
8202502,3,30,1.088
8202502,3,31,1.8666666666666665
8202502,4,1,1.7333333333333334
8202502,4,2,1.4120000000000001
8202502,4,3,0.66
8202502,4,4,0.9079999999999999
8202502,4,5,0.8640000000000001
8202502,4,6,1.54
8202502,4,7,2.016
8202502,4,8,2.368
8202502,4,9,1.9080000000000001
8202502,4,10,2.912
8202502,4,11,3.991666666666667
8202502,4,12,3.404
8202502,4,13,3.448
8202502,4,14,3.7239999999999998
8202502,4,15,2.928
8202502,4,16,3.34
8202502,4,17,3.9
8202502,4,18,2.628
8202502,4,19,3.036
8202502,4,20,3.8560000000000003
8202502,4,21,4.18
8202502,4,22,4.912
8202502,4,23,4.024
8202502,4,24,4.6
8202502,4,25,4.612
8202502,4,26,4.996
