Climate ID,Date,Monthly_Max_Gust_kmh,Monthly_Mean_Gust_Direction_10sdeg
8100885,2009-08-01,63.0,22.67
8100885,2009-09-01,57.0,25.74
8100885,2009-10-01,76.0,23.73
8100885,2009-11-01,65.0,26.74
8100885,2009-12-01,76.0,23.37
8100885,2010-01-01,85.0,24.36
8100885,2010-02-01,65.0,20.67
8100885,2010-03-01,59.0,23.57
8100885,2010-04-01,67.0,21.11
8100885,2010-05-01,72.0,25.57
8100885,2010-06-01,67.0,21.57
8100885,2010-07-01,61.0,24.71
8100885,2010-08-01,61.0,22.56
8100885,2010-09-01,59.0,22.1
8100885,2010-10-01,69.0,24.56
8100885,2010-11-01,70.0,23.12
8100885,2010-12-01,89.0,17.88
8100885,2011-01-01,67.0,24.44
8100885,2011-02-01,76.0,25.55
8100885,2011-03-01,65.0,25.24
8100885,2011-04-01,89.0,20.5
8100885,2011-05-01,67.0,14.48
8100885,2011-06-01,48.0,13.89
8100885,2011-07-01,76.0,23.73
8100885,2011-08-01,69.0,20.14
8100885,2011-09-01,63.0,24.07
8100885,2011-10-01,69.0,23.89
8100885,2011-11-01,65.0,24.7
8100885,2011-12-01,70.0,25.9
8100885,2012-01-01,67.0,23.21
8100885,2012-02-01,61.0,24.53
8100885,2012-03-01,67.0,22.71
8100885,2012-04-01,82.0,20.4
8100885,2012-05-01,63.0,20.82
8100885,2012-06-01,59.0,16.12
8100885,2012-07-01,57.0,26.73
8100885,2012-08-01,54.0,23.57
8100885,2012-09-01,52.0,21.07
8100885,2012-10-01,74.0,22.63
8100885,2012-11-01,67.0,23.38
8100885,2012-12-01,78.0,21.57
8100885,2013-01-01,76.0,26.52
8100885,2013-02-01,76.0,20.22
8100885,2013-03-01,61.0,18.75
8100885,2013-04-01,76.0,18.92
8100885,2013-05-01,61.0,15.62
8100885,2013-06-01,59.0,19.04
8100885,2013-07-01,65.0,23.83
8100885,2013-08-01,56.0,23.65
8100885,2013-09-01,63.0,23.59
8100885,2013-10-01,61.0,26.44
8100885,2013-11-01,76.0,25.75
8100885,2013-12-01,57.0,23.33
8100885,2014-01-01,63.0,24.87
8100885,2014-02-01,61.0,23.57
8100885,2014-03-01,69.0,23.07
8100885,2014-04-01,67.0,18.09
8100885,2014-05-01,76.0,16.31
8100885,2014-06-01,46.0,20.33
8100885,2014-07-01,74.0,25.2
8100885,2014-08-01,54.0,17.09
8100885,2014-09-01,61.0,26.0
8100885,2014-10-01,57.0,19.0
8100885,2014-11-01,63.0,22.64
8100885,2014-12-01,74.0,22.6
8100885,2015-01-01,76.0,23.25
8100885,2015-02-01,76.0,26.68
8100885,2015-03-01,83.0,24.92
8100885,2015-04-01,67.0,20.91
8100885,2015-05-01,67.0,22.81
8100885,2015-06-01,54.0,19.76
8100885,2015-07-01,52.0,17.61
8100885,2015-08-01,59.0,21.11
8100885,2015-09-01,57.0,24.4
