NAPS_ID,Station_Name,City,Province/Territory_EN,Province_Code,Latitude,Longitude,Status,Start_Date,End_Date
60450,BRAMPTON - 109 MCLAUGHLIN RD. S.,BRAMPTON,ONTARIO,ON,43.669567,-79.76567,1,2016-12-31,
60512,HAMILTON DOWNTOWN - ELGIN & KELLY,HAMILTON,ONTARIO,ON,43.25778,-79.86167,1,1987-02-06,
60513,HAMILTON MOUNTAIN - VICKERS RD. & EAST 18TH. ST.- 1,HAMILTON,ONTARIO,ON,43.22942,-79.86278,0,1985-10-10,2018-12-31
60515,HAMILTON WEST - MAIN ST. & HWY 403,HAMILTON,ONTARIO,ON,43.25744,-79.90775,1,1985-07-04,
60521,HAMILTON MOUNTAIN - 250 FENNELL AVE W.,HAMILTON,ONTARIO,ON,43.24132,-79.88941,1,2019-01-01,
60610,SUDBURY - APPLEGROVE ST. / BIRCH ST.,SUDBURY,ONTARIO,ON,46.49194,-81.00311,1,2013-01-01,
60709,SAULT STE. MARIE - SAULT COLLEGE ,SAULT STE. MARIE,ONTARIO,ON,46.53319,-84.30992,1,2004-01-01,
60807,THUNDER BAY - 615 JAMES ST. SOUTH,THUNDER BAY,ONTARIO,ON,48.37303,-89.29157,1,1986-10-29,
60809,THUNDER BAY - 421 JAMES ST. SOUTH ,THUNDER BAY,ONTARIO,ON,48.37939,-89.29017,0,2004-01-01,2024-09-24
60904,LONDON - 42 ST. JULIEN ST. ,LONDON,ONTARIO,ON,42.97446,-81.20086,1,2012-12-31,
61004,SARNIA - CENTENNIAL PARK ,SARNIA,ONTARIO,ON,42.98228,-82.40508,0,1978-07-20,2015-12-31
61007,AAMJIWNAANG,SARNIA,ONTARIO,ON,42.912545,-82.416816,1,2008-08-16,
61009,SARNIA - 700 CHRISTINA ST. NORTH ,SARNIA,ONTARIO,ON,42.990263,-82.395341,1,2016-04-06,
61104,PETERBOROUGH - 10 HOSPITAL DR.,PETERBOROUGH,ONTARIO,ON,44.30183333,-78.34638611,1,1998-12-01,
61201,CORNWALL - MEMORIAL PARK,CORNWALL,ONTARIO,ON,45.0179806,-74.7353139,1,1975-01-01,
61302,ST. CATHARINES - ARGYLE CRES.,ST. CATHARINES,ONTARIO,ON,43.16006,-79.23475,1,1987-07-31,
61402,BRANTFORD - 324 GRAND RIVER AVE.,BRANTFORD,ONTARIO,ON,43.13861,-80.29264,1,2004-01-01,
61502,KITCHENER - WEST AVE. & HOMEWOOD,KITCHENER,ONTARIO,ON,43.44383,-80.50381,1,1990-07-05,
61603,OAKVILLE - 8TH LINE/GLENASHTON DR. ,OAKVILLE,ONTARIO,ON,43.48692,-79.70228,1,2003-05-29,
61702,OSHAWA - DURHAM COLLEGE ,OSHAWA,ONTARIO,ON,43.94594,-78.89492,0,2005-04-29,2017-12-31
61703,OSHAWA - BRITANNIA AVE. WEST ,OSHAWA,ONTARIO,ON,43.95222,-78.9125,1,2018-01-29,
61802,GUELPH - EXHIBITION PARK ARENA,GUELPH,ONTARIO,ON,43.55163611,-80.26415556,1,1986-01-16,
62001,NORTH BAY - DND - CHIPPEWA ST.,NORTH BAY,ONTARIO,ON,46.32323,-79.44928,1,1988-01-01,
62501,TIVERTON - BRUCE NUCLEAR VISITOR CENTRE,TIVERTON,ONTARIO,ON,44.31447,-81.54972,1,1980-01-01,
