station_id,hw_group,start_date,end_date,duration_days,mean_anomaly,max_anomaly,Latitude,Longitude,Province,CSDNAME
8100300,660,2007-12-23,2007-12-30,8,4.406270833333333,7.648,46.71,-67.72,New Brunswick,Perth
8100300,662,2008-01-06,2008-01-13,8,10.999956521739131,16.27391304347826,46.71,-67.72,New Brunswick,Perth
8100300,668,2008-01-29,2008-01-31,3,9.417948717948718,14.284615384615385,46.71,-67.72,New Brunswick,Perth
8100300,682,2008-02-25,2008-02-27,3,4.028666666666667,5.05,46.71,-67.72,New Brunswick,Perth
8100300,692,2008-04-04,2008-04-06,3,2.7399999999999998,3.932,46.71,-67.72,New Brunswick,Perth
8100300,698,2008-04-21,2008-04-23,3,3.675333333333334,5.65,46.71,-67.72,New Brunswick,Perth
8100300,702,2008-06-08,2008-06-10,3,4.965333333333333,5.235999999999999,46.71,-67.72,New Brunswick,Perth
8100300,706,2008-07-07,2008-07-11,5,3.9515954415954413,5.573076923076922,46.71,-67.72,New Brunswick,Perth
8100300,708,2008-08-23,2008-08-25,3,3.3280512820512826,4.596153846153847,46.71,-67.72,New Brunswick,Perth
8100300,720,2008-10-25,2008-10-28,4,6.139285714285714,7.571428571428572,46.71,-67.72,New Brunswick,Perth
8100300,722,2008-11-04,2008-11-09,6,6.003703703703704,8.811111111111112,46.71,-67.72,New Brunswick,Perth
8100300,724,2008-11-14,2008-11-17,4,7.606908831908832,11.418518518518518,46.71,-67.72,New Brunswick,Perth
8100300,728,2008-11-28,2008-12-04,7,4.456410256410257,7.0,46.71,-67.72,New Brunswick,Perth
8100300,756,2009-02-14,2009-02-21,8,5.019498397435897,7.9559999999999995,46.71,-67.72,New Brunswick,Perth
8100300,772,2009-04-02,2009-04-07,6,5.084782608695652,8.932,46.71,-67.72,New Brunswick,Perth
8100300,778,2009-04-24,2009-04-26,3,6.469230769230769,8.81923076923077,46.71,-67.72,New Brunswick,Perth
8100300,798,2009-06-24,2009-06-26,3,2.967692307692308,3.5120000000000005,46.71,-67.72,New Brunswick,Perth
8100300,808,2009-08-14,2009-08-19,6,5.184431623931624,7.067999999999998,46.71,-67.72,New Brunswick,Perth
8100300,810,2009-08-21,2009-08-23,3,3.8756410256410256,5.676923076923078,46.71,-67.72,New Brunswick,Perth
8100300,822,2009-11-08,2009-11-10,3,5.44320987654321,6.555555555555556,46.71,-67.72,New Brunswick,Perth
8100300,824,2009-11-15,2009-11-22,8,4.925534188034188,8.919230769230769,46.71,-67.72,New Brunswick,Perth
8100300,826,2009-11-24,2009-11-30,7,4.612177452177453,7.811999999999999,46.71,-67.72,New Brunswick,Perth
8100300,828,2009-12-03,2009-12-06,4,4.207407407407407,5.048148148148147,46.71,-67.72,New Brunswick,Perth
8100300,834,2009-12-23,2009-12-28,6,4.162527777777778,7.908,46.71,-67.72,New Brunswick,Perth
8100300,836,2010-01-02,2010-01-08,7,9.250128045867175,12.668000000000001,46.71,-67.72,New Brunswick,Perth
8100300,840,2010-01-19,2010-01-22,4,7.170148550724638,11.344000000000001,46.71,-67.72,New Brunswick,Perth
8100300,842,2010-01-25,2010-01-29,5,8.671076923076923,14.234615384615385,46.71,-67.72,New Brunswick,Perth
8100300,844,2010-02-07,2010-03-09,31,7.950396665980117,13.004000000000001,46.71,-67.72,New Brunswick,Perth
8100300,846,2010-03-13,2010-03-20,8,6.060305500658762,9.5875,46.71,-67.72,New Brunswick,Perth
8100300,848,2010-03-22,2010-03-25,4,5.532291666666667,7.029166666666667,46.71,-67.72,New Brunswick,Perth
8100300,850,2010-03-29,2010-04-10,13,6.959117614269788,15.132,46.71,-67.72,New Brunswick,Perth
8100300,854,2010-04-22,2010-04-25,4,4.752346153846155,6.81923076923077,46.71,-67.72,New Brunswick,Perth
8100300,856,2010-05-01,2010-05-05,5,5.6203076923076924,9.08,46.71,-67.72,New Brunswick,Perth
8100300,860,2010-05-22,2010-05-26,5,8.203846153846154,9.911538461538461,46.71,-67.72,New Brunswick,Perth
8100300,868,2010-06-17,2010-06-21,5,3.5667410256410257,5.123076923076923,46.71,-67.72,New Brunswick,Perth
8100300,870,2010-07-04,2010-07-14,11,4.7868298368298365,7.573076923076922,46.71,-67.72,New Brunswick,Perth
8100300,880,2010-08-30,2010-09-04,6,7.202898148148147,9.315999999999999,46.71,-67.72,New Brunswick,Perth
8100300,882,2010-09-28,2010-10-02,5,4.786780626780627,6.957692307692307,46.71,-67.72,New Brunswick,Perth
8100300,894,2010-11-16,2010-11-18,3,4.766001899335232,5.046153846153846,46.71,-67.72,New Brunswick,Perth
8100300,898,2010-12-01,2010-12-07,7,5.108628408628408,8.048148148148147,46.71,-67.72,New Brunswick,Perth
8100300,900,2010-12-12,2010-12-14,3,9.030294396961063,12.853846153846153,46.71,-67.72,New Brunswick,Perth
