NAPS_ID,Station_Name,Status,Location_Address,City,Province/Territory,Postal_Code,Timezone_UTC,Latitude,Longitude,Elevation_m,Start_Date,End_Date
50138,MONTRÉAL-YORK/ROBERVAL,1,1540 ROBERVAL,MONTRÉAL,QUEBEC,H4E 1E6,-5,45.464611,-73.582583,25,12/31/2015,
50201,GATINEAU - EDDY,0,"RUE PRINCIPALE, HULL",GATINEAU,QUEBEC,,-5,45.4248,-75.72075,55,1/1/1974,6/4/1976
50203,GATINEAU - GAMELIN,0,"RUE GAMELIN, HULL",GATINEAU,QUEBEC,,-5,45.444167,-75.738889,86,4/1/1977,12/18/1996
50204,GATINEAU - HULL,1,"255 ST-REDEMPTEUR, HULL",GATINEAU,QUEBEC,J8X 2T4,-5,45.435987,-75.723429,62,1/23/1997,
50303,QUÉBEC - LIMOILOU,0,"801, 4E AVENUE",QUÉBEC,QUEBEC,,-5,46.82611,-71.2269,2,3/22/1974,2/28/1989
50304,QUÉBEC - DORCHESTER,0,"155, RUE DORCHESTER SUD",QUÉBEC,QUEBEC,,-5,46.81618,-71.22926,2,7/17/1974,10/20/1983
50305,QUÉBEC - MYRAND,0,"MYRAND & RENE-LEVESQUE, STE-FOY",QUÉBEC,QUEBEC,,-5,46.783611,-71.263333,80,10/29/1975,3/31/1980
50306,QUÉBEC - GOMIN,0,"FACE AU 891, PAINCHAUD, STE-FOY",QUÉBEC,QUEBEC,,-5,46.78806,-71.26056,75,4/1/1980,8/17/1998
50307,QUÉBEC - CARTIER-BRÉBEUF,0,RUE JACQUES CARTIER,QUÉBEC,QUEBEC,,-5,46.824444,-71.234722,6,11/1/1983,9/2/1998
50308,QUÉBEC - VIEUX-LIMOILOU,1,600 RUE DES SABLES,QUÉBEC,QUEBEC,G1J 2X9,-5,46.821177,-71.220495,8,12/16/1989,
50309,QUÉBEC - SAINT-ANGE,0,"1352 RANG ST-ANGE, STE-FOY",QUÉBEC,QUEBEC,,-5,46.76887,-71.40236,43,1/3/1991,10/31/2005
50310,QUÉBEC - COLLÈGE ST-CHARLES-GARNIER,1,1150 BOUL. RENE-LEVESQUE O.,QUÉBEC,QUEBEC,G1S 1V7,-5,46.794873,-71.246387,69,9/7/2000,
50311,QUÉBEC - ÉCOLE LES PRIMEVÈRES,1,"1465, RUE FELIX-ANTOINE-SAVARD",QUÉBEC,QUEBEC,G2G 1Z2,-5,46.774167,-71.369722,26,1/18/2005,
50313,QUÉBEC - HENRI-IV,1,AUTOROUTE HENRI IV NORD/SORTIE 138,QUÉBEC,QUEBEC,,-5,46.781321,-71.308717,52,12/31/2019,
50314,QUÉBEC - CHARLESBOURG,1,RUE DE L'INDRE,QUÉBEC,QUEBEC,,-5,46.861472,-71.257192,88,12/31/2020,
